2022-08-29 22:35:35.917[1661780135917] | INFO  | main       | c.b.c.c.utils.WebSocketConnection    - [Connection 1] Connecting to stream.binance.com/ws/btcusdt@aggTrade
2022-08-29 22:35:35.926[1661780135926] | INFO  | main       | c.b.c.c.utils.WebSocketConnection    - [Connection 2] Connecting to stream.binance.com/stream
2022-08-29 22:35:35.926[1661780135926] | INFO  | main       | c.b.c.c.utils.WebSocketConnection    - [Connection 3] Connecting to stream.binance.com/ws/tgBdHepZY2Uwv423DKGyeoguE2fntJmg1mAelC7sKMLbsypav1D0No3LfZgrlGeZ
2022-08-29 22:35:35.927[1661780135927] | INFO  | main       | c.b.c.c.utils.WebSocketConnection    - [Connection 1] Closing connection to stream.binance.com/ws/btcusdt@aggTrade
2022-08-29 22:35:35.927[1661780135927] | INFO  | main       | c.b.c.c.impl.WebsocketClientImpl     - Closing Connection ID 1
2022-08-29 22:35:35.927[1661780135927] | INFO  | main       | c.b.c.c.impl.WebsocketClientImpl     - Closing 2 connections(s)
2022-08-29 22:35:35.928[1661780135928] | INFO  | main       | c.b.c.c.utils.WebSocketConnection    - [Connection 2] Closing connection to stream.binance.com/stream
2022-08-29 22:35:35.928[1661780135928] | INFO  | main       | c.b.c.c.utils.WebSocketConnection    - [Connection 3] Closing connection to stream.binance.com/ws/tgBdHepZY2Uwv423DKGyeoguE2fntJmg1mAelC7sKMLbsypav1D0No3LfZgrlGeZ
2022-08-29 22:35:35.928[1661780135928] | INFO  | main       | c.b.c.c.impl.WebsocketClientImpl     - All connections are closed!
2022-08-29 22:35:36.207[1661780136207] | INFO  | main       | controller.BinanceAppApplication     - Starting BinanceAppApplication using Java 18.0.2.1 on DESKTOP-8IAHSRN with PID 15928 (C:\Users\NOMAN\Documents\workspace-spring-tool-suite-4-4.15.3.RELEASE\binanceApp\target\classes started by NOMAN in C:\Users\NOMAN\Documents\workspace-spring-tool-suite-4-4.15.3.RELEASE\binanceApp)
2022-08-29 22:35:36.208[1661780136208] | INFO  | main       | controller.BinanceAppApplication     - No active profile set, falling back to 1 default profile: "default"
2022-08-29 22:35:36.485[1661780136485] | INFO  | OkHttp https://stream.binance.com:9443/... | c.b.c.c.utils.WebSocketConnection    - [Connection 3] Connected to Server
2022-08-29 22:35:36.545[1661780136545] | INFO  | OkHttp https://stream.binance.com:9443/... | c.b.c.c.utils.WebSocketConnection    - [Connection 1] Connected to Server
2022-08-29 22:35:36.546[1661780136546] | INFO  | OkHttp https://stream.binance.com:9443/... | c.b.c.c.utils.WebSocketConnection    - [Connection 2] Connected to Server
2022-08-29 22:35:36.711[1661780136711] | INFO  | main       | o.s.b.w.e.tomcat.TomcatWebServer     - Tomcat initialized with port(s): 8080 (http)
2022-08-29 22:35:36.720[1661780136720] | INFO  | main       | o.a.coyote.http11.Http11NioProtocol  - Initializing ProtocolHandler ["http-nio-8080"]
2022-08-29 22:35:36.720[1661780136720] | INFO  | main       | o.a.catalina.core.StandardService    - Starting service [Tomcat]
2022-08-29 22:35:36.720[1661780136720] | INFO  | main       | o.a.catalina.core.StandardEngine     - Starting Servlet engine: [Apache Tomcat/9.0.65]
2022-08-29 22:35:36.776[1661780136776] | INFO  | main       | o.a.c.c.C.[Tomcat].[localhost].[/]   - Initializing Spring embedded WebApplicationContext
2022-08-29 22:35:36.776[1661780136776] | INFO  | main       | o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 542 ms
2022-08-29 22:35:36.961[1661780136961] | INFO  | main       | o.a.coyote.http11.Http11NioProtocol  - Starting ProtocolHandler ["http-nio-8080"]
2022-08-29 22:35:36.973[1661780136973] | INFO  | main       | o.s.b.w.e.tomcat.TomcatWebServer     - Tomcat started on port(s): 8080 (http) with context path ''
2022-08-29 22:35:36.978[1661780136978] | INFO  | main       | controller.BinanceAppApplication     - Started BinanceAppApplication in 0.989 seconds (JVM running for 1.581)
